cluster	SEQFID	genus	species	strain
cluster510	SEQF1275	Neisseria	meningitidis	"serogroup C, FAM18"
cluster438	SEQF1213	Escherichia	coli	O157:H7 EDL933
cluster2751	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster185	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster3187	SEQF2714	Pseudomonas	pseudoalcaligenes	AD6
cluster2656	SEQF2411	Afipia	broomeae	ATCC 49717
cluster2625	SEQF2394	Proteus	mirabilis	WGLW6
cluster2032	SEQF2168	Pseudomonas	aeruginosa	NCGM2.S1
cluster1988	SEQF2149	Prevotella	salivae	DSM 15606
cluster2088	SEQF2185	Yersinia	pestis	D106004
cluster2919	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster1713	SEQF1958	Centipeda	periodontii	DSM 2778
cluster812	SEQF1403	Streptococcus	pneumoniae	SP19-BS75
cluster2014	SEQF2167	Pseudomonas	aeruginosa	M18
cluster2943	SEQF2591	Streptococcus	constellatus	subsp. pharyngis C818
cluster3605	SEQF2943	Corynebacterium	tuberculostearicum	kpl1821
cluster3655	SEQF2962	Corynebacterium	coyleae	hmsc05c01
cluster178	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster1422	SEQF1798	Prevotella	buccae	D17
cluster3840	SEQF3031	Corynebacterium	amycolatum	hmsc077g07
cluster2793	SEQF2514	Ralstonia	pickettii	OR214
cluster279	SEQF1139	Bacillus	anthracis	Tsiankovskii-I
cluster2719	SEQF2456	Clostridiales [F-3][G-1]	bacterium HMT 876	F0540
cluster2786	SEQF2511	Prevotella	veroralis	DSM 19559
cluster1376	SEQF1728	Anaerococcus	tetradius	ATCC 35098
cluster006	SEQF1008	Capnocytophaga	ochracea	"DSM 7271, ATCC 27872, JCM 12966"
cluster3077	SEQF2673	Ochrobactrum	anthropi	W13P3
cluster1066	SEQF1559	Yersinia	pestis	Pestoides A
cluster3527	SEQF2899	Neisseria	cinerea	atcc_14685
cluster009	SEQF1013	Corynebacterium	matruchotii	ATCC 14266
cluster2132	SEQF2200	Staphylococcus	aureus	A8819
cluster1895	SEQF2056	Brevundimonas	diminuta	ATCC 11568
cluster2562	SEQF2351	Neisseria	sicca	VK64
cluster004	SEQF1008	Capnocytophaga	ochracea	"DSM 7271, ATCC 27872, JCM 12966"
cluster608	SEQF1311	Staphylococcus	aureus	COL
cluster3130	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster2659	SEQF2411	Afipia	broomeae	ATCC 49717
cluster056	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster2249	SEQF2249	Bifidobacterium	longum	subsp. infantis ATCC 15697
cluster1111	SEQF1566	Yersinia	pestis	biovar Orientalis str. India 195
cluster1053	SEQF1556	Yersinia	pestis	CA88-4125
cluster047	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster2412	SEQF2301	Streptococcus	pyogenes	MGAS15252
cluster2151	SEQF2204	Staphylococcus	caprae	C87
cluster1193	SEQF1603	Oribacterium	sp. HMT 078	F0262
cluster2255	SEQF2267	Corynebacterium	diphtheriae	31A
cluster1281	SEQF1677	Prevotella	denticola	F0289
cluster990	SEQF1523	Streptococcus	pneumoniae	70585
cluster1735	SEQF1970	Capnocytophaga	sp. HMT 336	F0502
cluster2556	SEQF2347	Fusobacterium	necrophorum	subsp. funduliforme ATCC 51357
cluster281	SEQF1140	Bacillus	anthracis	str. A0174
cluster2818	SEQF2531	Fusobacterium	nucleatum subsp. animalis	11_3_2
cluster3039	SEQF2637	Tannerella	sp. HMT 286	isolate Cell 6/7/9
cluster3585	SEQF2937	Corynebacterium	accolens	kpl1986
cluster1386	SEQF1759	Haemophilus	influenzae	RdAW
cluster1528	SEQF1844	Yersinia	pestis	KIM D27
cluster3448	SEQF2871	Kocuria	rhizophila	fdaargos_302
cluster488	SEQF1254	Lactobacillus	paracasei	ATCC 334
cluster1872	SEQF2035	Agrobacterium	tumefaciens	F2
cluster944	SEQF1510	Escherichia	coli	O157:H7 str. EC4113
cluster582	SEQF1301	Pseudomonas	fluorescens	Pf0-1
cluster2675	SEQF2422	Lysinibacillus	fusiformis	ZB2
cluster1245	SEQF1645	Mycobacterium	leprae	Br4923
cluster161	SEQF1082	Yersinia	pestis	biovar Microtus str. 91001
cluster176	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster3602	SEQF2943	Corynebacterium	tuberculostearicum	kpl1821
cluster1664	SEQF1926	Achromobacter	xylosoxidans	A8
cluster447	SEQF1218	Escherichia	coli	UMN026 (O17:K52:H18)
cluster511	SEQF1275	Neisseria	meningitidis	"serogroup C, FAM18"
cluster3151	SEQF2697	Pseudomonas	aeruginosa	ATCC 700888
cluster1863	SEQF2030	Achromobacter	xylosoxidans	C54
cluster3464	SEQF2878	Corynebacterium	minutissimum	atcc_23348
cluster1653	SEQF1925	Rothia	dentocariosa	ATCC 17931
cluster3534	SEQF2904	Brochothrix	thermosphacta	bth_7810
cluster180	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster2027	SEQF2168	Pseudomonas	aeruginosa	NCGM2.S1
cluster1130	SEQF1568	Yersinia	pestis	biovar Orientalis str. MG05-1020
cluster031	SEQF1025	Mesorhizobium	loti	MAFF303099
cluster1144	SEQF1576	Capnocytophaga	sputigena	ATCC 33612
cluster2687	SEQF2438	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC4092
cluster775	SEQF1384	Acinetobacter	baumannii	ATCC 17978
cluster032	SEQF1026	Lactobacillus	johnsonii	NCC 533
cluster221	SEQF1116	Streptococcus	pneumoniae	CGSP14
cluster1356	SEQF1719	Lactococcus	lactis	KF147
cluster979	SEQF1518	Escherichia	coli	O157:H7 str. EC869
cluster3811	SEQF3023	Corynebacterium	jeikeium	hmsc058e07
cluster2256	SEQF2267	Corynebacterium	diphtheriae	31A
cluster770	SEQF1382	Streptococcus	mutans	NN2025
cluster2742	SEQF2485	Desulfobulbus	sp. HMT 041	Dsb2
cluster3485	SEQF2885	Janibacter	indicus	yfy001
cluster1466	SEQF1811	Staphylococcus	aureus	A9635
cluster1128	SEQF1568	Yersinia	pestis	biovar Orientalis str. MG05-1020
cluster1147	SEQF1576	Capnocytophaga	sputigena	ATCC 33612
cluster1156	SEQF1588	Streptococcus	pneumoniae	BS458
cluster1885	SEQF2048	Corynebacterium	diphtheriae	241
cluster002	SEQF1006	Capnocytophaga	ochracea	F0287
cluster3690	SEQF2978	Corynebacterium	jeikeium	hmsc08a12
cluster1427	SEQF1802	Proteus	mirabilis	ATCC 29906
cluster3313	SEQF2794	Desulfomicrobium	orale	DSM 12838
cluster2355	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster1455	SEQF1809	Staphylococcus	aureus	A8117
cluster1569	SEQF1860	Cardiobacterium	valvarum	F0432
cluster1961	SEQF2113	Lactobacillus	plantarum	subsp. plantarum ST-III
cluster3043	SEQF2638	Tannerella	sp. HMT 286	isolate Cell 8/11
cluster3459	SEQF2876	Neisseria	macacae	atcc_33926
cluster1238	SEQF1642	Streptococcus	pneumoniae	ATCC 700669
cluster1124	SEQF1567	Yersinia	pestis	biovar Orientalis str. IP275
cluster599	SEQF1303	Pseudomonas	stutzeri	"A1501, CGMCC 0351"
cluster051	SEQF1034	Mycobacterium	tuberculosis	H37Rv (lab strain)
cluster2540	SEQF2339	Streptococcus	mitis	SK616
cluster2453	SEQF2321	Agrobacterium	tumefaciens	5A
cluster327	SEQF1165	Neisseria	subflava	NJ9703
cluster1652	SEQF1925	Rothia	dentocariosa	ATCC 17931
cluster1544	SEQF1849	Actinomyces	sp. HMT 170	F0386
cluster899	SEQF1489	Staphylococcus	aureus	D30
cluster1776	SEQF1987	Prevotella	multisaccharivorax	DSM 17128
cluster1590	SEQF1874	Treponema	denticola	SP23/F0463
cluster355	SEQF1173	Bacillus	subtilis	BSn5
cluster3843	SEQF3032	Corynebacterium	aurimucosum	hmsc068g04
cluster1391	SEQF1760	Klebsiella	pneumoniae	ATCC 13884
cluster3882	SEQF3044	Corynebacterium	striatum	hmsc05d08
cluster3664	SEQF2968	Corynebacterium	coyleae	hmsc034b08
cluster2223	SEQF2232	Streptococcus	pneumoniae	GA47368
cluster3133	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster3753	SEQF3001	Corynebacterium	aurimucosum	hmsc074c01
cluster1726	SEQF1966	Lactobacillus	salivarius	CECT 5713
cluster3841	SEQF3032	Corynebacterium	aurimucosum	hmsc068g04
cluster2749	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster519	SEQF1277	Neisseria	meningitidis	8013 (serogroup C)
cluster1497	SEQF1832	Staphylococcus	aureus	TCH60
cluster1033	SEQF1533	Lactobacillus	fermentum	IFO 3956
cluster3409	SEQF2854	Cupriavidus	gilardii	cr3
cluster3377	SEQF2842	Fusobacterium	hwasookii	ChDC F174
cluster1343	SEQF1712	Escherichia	coli	O103:H2 str. 12009
cluster3793	SEQF3014	Corynebacterium	amycolatum	hmsc072b09
cluster2085	SEQF2185	Yersinia	pestis	D106004
cluster3878	SEQF3044	Corynebacterium	striatum	hmsc05d08
cluster2697	SEQF2442	Staphylococcus	warneri	SG1
cluster2201	SEQF2228	Streptococcus	pneumoniae	GA17545
cluster1654	SEQF1925	Rothia	dentocariosa	ATCC 17931
cluster860	SEQF1433	Escherichia	coli	536
cluster2603	SEQF2384	Streptococcus	pyogenes	NS88.2
cluster1197	SEQF1610	Treponema	vincentii	ATCC 35580
cluster3795	SEQF3015	Corynebacterium	amycolatum	hmsc055g02
cluster685	SEQF1343	Streptococcus	pneumoniae	INV104
cluster380	SEQF1188	Escherichia	coli	53638
cluster874	SEQF1477	Prevotella	sp. HMT 317	F0108
cluster1209	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster460	SEQF1226	Haemophilus	influenzae	3655
cluster3092	SEQF2685	Prevotella	saccharolytica	JCM 17484
cluster2633	SEQF2399	Streptococcus	oralis subsp. oralis	SK304
cluster1716	SEQF1960	Enterobacter	hormaechei	ATCC 49162
cluster3794	SEQF3015	Corynebacterium	amycolatum	hmsc055g02
cluster3846	SEQF3033	Corynebacterium	amycolatum	hmsc073h12
cluster2815	SEQF2529	Fusobacterium	periodonticum	2_1_31
cluster3297	SEQF2785	Microbacterium	ginsengisoli	DSM 18659
cluster3835	SEQF3030	Corynebacterium	tuberculostearicum	kpl1817
cluster2607	SEQF2385	Actinomyces	massiliensis	4401292
cluster1587	SEQF1872	Treponema	denticola	ASLM/F0460
cluster960	SEQF1514	Escherichia	coli	O157:H7 str. EC4401
cluster1980	SEQF2142	Neisseria	mucosa	C102
cluster174	SEQF1087	Agrobacterium	tumefaciens	biovar II K84
cluster2909	SEQF2583	Acidipropionibacterium	acidifaciens	DSM 21887
cluster480	SEQF1249	Klebsiella	pneumoniae	342
cluster2754	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster3887	SEQF3046	Corynebacterium	aurimucosum	hmsc072a04
cluster2176	SEQF2216	Streptococcus	infantis clade 638	X
cluster3143	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster1914	SEQF2063	Finegoldia	magna	SY403409CC001050417
cluster237	SEQF1129	Mycobacterium	tuberculosis	H37Ra
cluster1211	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster1460	SEQF1810	Staphylococcus	aureus	A9299
cluster2682	SEQF2431	Actinomyces	oris	K20
cluster1104	SEQF1565	Yersinia	pestis	biovar Orientalis str. F1991016
cluster595	SEQF1302	Pseudomonas	fluorescens	SBW25
cluster1208	SEQF1619	Pseudomonas	aeruginosa	LESB58
cluster1431	SEQF1803	Staphylococcus	aureus	A10102
cluster3540	SEQF2908	Roseomonas	gilardii	u14_5
cluster2688	SEQF2438	Aggregatibacter	actinomycetemcomitans	serotype b str. SCC4092
cluster3414	SEQF2859	Corynebacterium	striatum	kc_na_01
cluster3591	SEQF2938	Corynebacterium	aurimucosum	hmsc036d02
cluster112	SEQF1056	Yersinia	pestis	KIM10+
cluster204	SEQF1100	Neisseria	meningitidis	53442
cluster3592	SEQF2939	Corynebacterium	aurimucosum	hmsc078a10
cluster2974	SEQF2605	Lactobacillus	fermentum	MTCC 8711
cluster3292	SEQF2781	Actinomyces	radicidentis	CCUG 36733
cluster1096	SEQF1564	Yersinia	pestis	biovar Medievalis str. Harbin 35
cluster1294	SEQF1685	Megasphaera	micronuciformis	F0359
cluster312	SEQF1153	Bacillus	anthracis	str. A0488
cluster468	SEQF1234	Haemophilus	influenzae	PittII
cluster2437	SEQF2306	Streptococcus	pneumoniae	GA08825
cluster3546	SEQF2909	Staphylococcus	lugdunensis	fdaargos_143
cluster3093	SEQF2687	Prevotella	shahii	JCM 12083
cluster2721	SEQF2457	Porphyromonas	gingivalis	F0185
cluster752	SEQF1366	Streptococcus	salivarius	JIM8777
cluster3806	SEQF3020	Corynebacterium	amycolatum	hmsc065h09
cluster3680	SEQF2973	Fusobacterium	nucleatum subsp. animalis	cm1
cluster2028	SEQF2168	Pseudomonas	aeruginosa	NCGM2.S1
cluster3447	SEQF2871	Kocuria	rhizophila	fdaargos_302
cluster571	SEQF1300	Pseudomonas	fluorescens	Pf-5
cluster3523	SEQF2897	Micrococcus	luteus	nctc_2665
cluster2182	SEQF2219	Streptococcus	mitis	SK569
cluster1518	SEQF1840	Streptococcus	pneumoniae	TCH8431/19A
cluster831	SEQF1406	Streptococcus	pneumoniae	SP6-BS73
cluster1450	SEQF1807	Staphylococcus	aureus	A6300
cluster1667	SEQF1927	Eubacterium	limosum	KIST612
cluster251	SEQF1130	Mycobacterium	tuberculosis	KZN 1435
cluster1061	SEQF1558	Yersinia	pestis	Nepal516
cluster1736	SEQF1970	Capnocytophaga	sp. HMT 336	F0502
cluster386	SEQF1189	Escherichia	coli	55989
cluster757	SEQF1367	Streptococcus	salivarius	"CCHSS3, JIM8780"
cluster1401	SEQF1781	Lactobacillus	rhamnosus	LMS2-1
cluster3259	SEQF2749	Ottowia	sp. HMT 894	W10237
cluster2750	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster2642	SEQF2407	Turicella	otitidis	ATCC 51513
cluster3611	SEQF2945	Corynebacterium	coyleae	hmsc034e11
cluster3762	SEQF3003	Corynebacterium	coyleae	hmsc055d05
cluster917	SEQF1494	Streptococcus	pyogenes	NZ131
cluster1621	SEQF1903	Actinomyces	massiliensis	F0489
cluster836	SEQF1407	Streptococcus	pneumoniae	SP9-BS68
cluster2175	SEQF2215	Streptococcus	infantis clade 638	SK970
cluster3692	SEQF2978	Corynebacterium	jeikeium	hmsc08a12
cluster725	SEQF1358	Streptococcus	pyogenes	"MGAS10750, ATCC BAA-1066"
cluster2486	SEQF2325	Bradyrhizobium	elkanii	587
cluster837	SEQF1407	Streptococcus	pneumoniae	SP9-BS68
cluster1853	SEQF2029	Achromobacter	xylosoxidans	AXX-A
cluster2198	SEQF2227	Streptococcus	pneumoniae	GA04375
cluster2644	SEQF2407	Turicella	otitidis	ATCC 51513
cluster3236	SEQF2738	Tannerella	forsythia	"ATCC 43037, FDC 338"
cluster1363	SEQF1724	Rothia	mucilaginosa	DY-18
cluster3221	SEQF2719	Ignavibacterium	album	JCM 16511
cluster753	SEQF1366	Streptococcus	salivarius	JIM8777
cluster3282	SEQF2766	Streptococcus	sinensis	HKU4
cluster3560	SEQF2913	Streptococcus	salivarius	jf
cluster016	SEQF1016	Eikenella	corrodens	ATCC 23834
cluster339	SEQF1166	Neisseria	elongata	ATCC 29315
cluster2114	SEQF2193	Pseudomonas	aeruginosa	39016
cluster2204	SEQF2229	Streptococcus	pneumoniae	GA17570
cluster3080	SEQF2676	Prevotella	denticola	JCM 13449
cluster1900	SEQF2058	Comamonas	testosteroni	S44
cluster3570	SEQF2916	Acinetobacter	johnsonii	xbb1
cluster040	SEQF1032	Mycobacterium	tuberculosis	CDC1551
cluster772	SEQF1384	Acinetobacter	baumannii	ATCC 17978
cluster2743	SEQF2486	Desulfobulbus	sp. HMT 041	Dsb3
cluster3420	SEQF2861	Kocuria	palustris	mu14_1
cluster1430	SEQF1803	Staphylococcus	aureus	A10102
cluster464	SEQF1231	Haemophilus	influenzae	PittEE
cluster3009	SEQF2621	Rhodobacter	capsulatus	R121
cluster361	SEQF1175	Neisseria	mucosa	ATCC 25996
cluster1510	SEQF1836	Staphylococcus	epidermidis	M23864:W1
cluster3132	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster1101	SEQF1564	Yersinia	pestis	biovar Medievalis str. Harbin 35
cluster3140	SEQF2696	Pseudomonas	aeruginosa	ATCC 14886
cluster2413	SEQF2301	Streptococcus	pyogenes	MGAS15252
cluster2169	SEQF2211	Streptococcus	constellatus	subsp. pharyngis SK1060
cluster1971	SEQF2128	Mobiluncus	mulieris	FB024-16
cluster1010	SEQF1528	Streptococcus	pneumoniae	Hungary19A-6
cluster1116	SEQF1566	Yersinia	pestis	biovar Orientalis str. India 195
cluster349	SEQF1173	Bacillus	subtilis	BSn5
cluster3836	SEQF3030	Corynebacterium	tuberculostearicum	kpl1817
cluster2871	SEQF2558	Lactobacillus	gasseri	K7
cluster3854	SEQF3036	Corynebacterium	simulans	hmsc076d02
cluster130	SEQF1063	Actinomyces	naeslundii	MG1
cluster2443	SEQF2308	Streptococcus	pneumoniae	ST556
cluster2611	SEQF2387	Capnocytophaga	ochracea	str. Holt 25
cluster2572	SEQF2353	Leptotrichia	sp. HMT 879	F0557
cluster3607	SEQF2944	Corynebacterium	aurimucosum	hmsc072d12
cluster1920	SEQF2077	Haemophilus	parainfluenzae	ATCC 33392
cluster707	SEQF1349	Streptococcus	pneumoniae	TIGR4
cluster969	SEQF1516	Escherichia	coli	O157:H7 str. EC4501
cluster2282	SEQF2272	Corynebacterium	diphtheriae	HC02
cluster1506	SEQF1835	Staphylococcus	aureus	WW2703/97
cluster1775	SEQF1987	Prevotella	multisaccharivorax	DSM 17128
cluster1575	SEQF1865	Treponema	denticola	ATCC 33520
cluster3261	SEQF2750	Aggregatibacter	paraphrophilus	W10433
cluster886	SEQF1486	Acinetobacter	baumannii	MDR-ZJ06
cluster678	SEQF1341	Streptococcus	pneumoniae	670-6B
cluster1955	SEQF2110	Lactobacillus	casei	LC2W
cluster2889	SEQF2566	Lactobacillus	casei	LOCK919
cluster1190	SEQF1602	Capnocytophaga	gingivalis	ATCC 33624
cluster1160	SEQF1588	Streptococcus	pneumoniae	BS458
cluster3618	SEQF2949	Corynebacterium	amycolatum	hmsc070b05
cluster3002	SEQF2618	Prevotella	oralis	CC98A
cluster2890	SEQF2568	Lactobacillus	rhamnosus	LOCK900
cluster2947	SEQF2592	Streptococcus	intermedius	B196
cluster1915	SEQF2064	Fusobacterium	necrophorum	subsp. funduliforme 1_1_36S
cluster3203	SEQF2716	Burkholderia	cepacia	JBK9
cluster2356	SEQF2290	Bacillus	subtilis	subsp. spizizenii TU-B-10
cluster2954	SEQF2594	Actinomyces	timonensis	DSM 23838
cluster946	SEQF1511	Escherichia	coli	O157:H7 str. EC4115
cluster3518	SEQF2895	Staphylococcus	pettenkoferi	fdaargos_288
cluster3858	SEQF3038	Corynebacterium	coyleae	hmsc075d04
cluster3244	SEQF2744	Peptostreptococcaceae [XI][G-1]	[Eubacterium] sulci	ATCC 35585
cluster3455	SEQF2876	Neisseria	macacae	atcc_33926
cluster543	SEQF1295	Pseudomonas	aeruginosa	PA7
cluster2037	SEQF2169	Pseudomonas	fluorescens	F113
cluster2167	SEQF2209	Streptococcus	agalactiae	FSL S3-026
cluster3658	SEQF2964	Corynebacterium	amycolatum	hmsc063g05
cluster3668	SEQF2970	Corynebacterium	urealyticum	hmsc22b11
cluster804	SEQF1401	Streptococcus	pneumoniae	SP14-BS69
cluster2811	SEQF2527	Lactobacillus	paracasei	Lpp230
cluster1457	SEQF1809	Staphylococcus	aureus	A8117
cluster958	SEQF1514	Escherichia	coli	O157:H7 str. EC4401
cluster1859	SEQF2030	Achromobacter	xylosoxidans	C54
cluster3512	SEQF2893	Acidovorax	temperans	ky4
cluster413	SEQF1198	Escherichia	coli	E24377A
cluster332	SEQF1165	Neisseria	subflava	NJ9703
cluster3495	SEQF2889	Serratia	marcescens	rsc_14
cluster1426	SEQF1802	Proteus	mirabilis	ATCC 29906
cluster2010	SEQF2166	Cutibacterium	acnes	TypeIA2 P.acn33
cluster2510	SEQF2331	Neisseria	weaveri	LMG 5135
cluster1626	SEQF1909	Capnocytophaga	sp. HMT 412	F0487
cluster2367	SEQF2291	Bacillus	subtilis	subsp. subtilis RO-NN-1
cluster2813	SEQF2528	Lactobacillus	paracasei	Lpp120
cluster1813	SEQF1995	Streptococcus	agalactiae	ATCC 13813
cluster792	SEQF1398	Acinetobacter	baumannii	ACICU
cluster1517	SEQF1839	Staphylococcus	warneri	L37603
cluster3172	SEQF2705	Actinomyces	israelii	DSM 43320
cluster3532	SEQF2903	Corynebacterium	aurimucosum	hmsc05d03
cluster315	SEQF1153	Bacillus	anthracis	str. A0488
cluster3298	SEQF2786	Streptococcus	infantis clade 431	F0610 (5-114)
cluster910	SEQF1492	Staphylococcus	aureus	MRSA USA300_TCH1516
cluster3407	SEQF2854	Cupriavidus	gilardii	cr3
cluster959	SEQF1514	Escherichia	coli	O157:H7 str. EC4401
cluster2352	SEQF2289	Bacillus	subtilis	subsp. spizizenii str. W23
cluster782	SEQF1395	Variovorax	paradoxus	S110
cluster1235	SEQF1642	Streptococcus	pneumoniae	ATCC 700669
cluster3247	SEQF2745	Actinomyces	sp. HMT 414	F0588
cluster1094	SEQF1563	Yersinia	pestis	biovar Mediaevalis str. K1973002
cluster2657	SEQF2411	Afipia	broomeae	ATCC 49717
cluster3456	SEQF2876	Neisseria	macacae	atcc_33926
cluster1732	SEQF1969	Neisseria	bacilliformis	ATCC BAA-1200
cluster3799	SEQF3017	Corynebacterium	amycolatum	hmsc074c11
cluster3704	SEQF2984	Corynebacterium	pseudodiphtheriticum	kpl1995
cluster2434	SEQF2305	Streptococcus	pneumoniae	GA05578
cluster3353	SEQF2825	Aggregatibacter	actinomycetemcomitans	serotype e str. SA2149
cluster2753	SEQF2487	Bradyrhizobium	elkanii	USDA 76
cluster189	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster2474	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster3038	SEQF2637	Tannerella	sp. HMT 286	isolate Cell 6/7/9
cluster3715	SEQF2988	Corynebacterium	accolens	kpl1814
cluster2643	SEQF2407	Turicella	otitidis	ATCC 51513
cluster558	SEQF1298	Pseudomonas	aeruginosa	UCBPP-PA14
cluster423	SEQF1203	Escherichia	coli	F11
cluster621	SEQF1314	Staphylococcus	aureus	MRSA252
cluster1103	SEQF1565	Yersinia	pestis	biovar Orientalis str. F1991016
cluster654	SEQF1322	Staphylococcus	epidermidis	 ATCC 12228
cluster190	SEQF1096	Mycobacterium	tuberculosis	F11 (ExPEC)
cluster2002	SEQF2163	Cutibacterium	acnes	ATCC 11828
cluster1633	SEQF1913	Streptococcus	oralis subsp. tigurinus clade 071	"73H25AP, F0408"
cluster1223	SEQF1624	Escherichia	coli	O127:H6 str. E2348/69
cluster2998	SEQF2617	Prevotella	nigrescens	CC14M
cluster971	SEQF1516	Escherichia	coli	O157:H7 str. EC4501
cluster1301	SEQF1688	Rothia	aeria	F0184
cluster2796	SEQF2515	Stenotrophomonas	maltophilia	AU12-09
cluster1027	SEQF1531	Streptococcus	pneumoniae	SP195
cluster3167	SEQF2705	Actinomyces	israelii	DSM 43320
cluster3848	SEQF3034	Corynebacterium	amycolatum	hmsc077g01
cluster2258	SEQF2267	Corynebacterium	diphtheriae	31A
cluster1039	SEQF1536	Streptococcus	pneumoniae	BS397
cluster1064	SEQF1559	Yersinia	pestis	Pestoides A
cluster2482	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster1743	SEQF1972	Propionibacteriaceae [G-2]	bacterium HMT 192	F0372
cluster2041	SEQF2169	Pseudomonas	fluorescens	F113
cluster978	SEQF1518	Escherichia	coli	O157:H7 str. EC869
cluster670	SEQF1334	Streptococcus	agalactiae	A909
cluster071	SEQF1037	Bacillus	anthracis	Ames
cluster3293	SEQF2781	Actinomyces	radicidentis	CCUG 36733
cluster2470	SEQF2324	Bacillus	subtilis	subsp. subtilis str. SC-8
cluster2967	SEQF2603	Ralstonia	pickettii	DTP0602
cluster829	SEQF1406	Streptococcus	pneumoniae	SP6-BS73
cluster2297	SEQF2275	Corynebacterium	diphtheriae	INCA 402
cluster1491	SEQF1831	Staphylococcus	aureus	TCH130
cluster1454	SEQF1808	Staphylococcus	aureus	A8115
cluster2886	SEQF2565	Lactobacillus	brevis	KB290
cluster2109	SEQF2193	Pseudomonas	aeruginosa	39016
cluster1742	SEQF1972	Propionibacteriaceae [G-2]	bacterium HMT 192	F0372
cluster3716	SEQF2988	Corynebacterium	accolens	kpl1814
cluster3701	SEQF2981	Corynebacterium	aurimucosum	hmsc062a03
cluster496	SEQF1262	Lactobacillus	paracasei	8700:02:00
cluster1075	SEQF1560	Yersinia	pestis	biovar Antiqua str. B42003004
cluster1644	SEQF1919	Streptococcus	parasanguinis clade 721	ATCC 15912
cluster3847	SEQF3033	Corynebacterium	amycolatum	hmsc073h12
cluster3030	SEQF2635	Tannerella	sp. HMT 286	isolate Cell 2
cluster3731	SEQF2993	Corynebacterium	tuberculostearicum	kpl1860
cluster2411	SEQF2300	Stenotrophomonas	maltophilia	D457
cluster2934	SEQF2588	Streptococcus	anginosus	C238
cluster3329	SEQF2807	Tannerella	sp. HMT 286	W11667
cluster2154	SEQF2205	Staphylococcus	epidermidis	14.1.R1.SE
cluster3354	SEQF2825	Aggregatibacter	actinomycetemcomitans	serotype e str. SA2149
cluster3341	SEQF2817	Fusobacterium	nucleatum subsp. animalis	7_1
cluster2073	SEQF2183	Variovorax	paradoxus	EPS
cluster492	SEQF1261	Neisseria	lactamica	ATCC 23970
cluster2378	SEQF2293	Bacillus	subtilis	subsp. spizizenii ATCC 6633
cluster2492	SEQF2325	Bradyrhizobium	elkanii	587
cluster1530	SEQF1844	Yersinia	pestis	KIM D27
cluster2484	SEQF2325	Bradyrhizobium	elkanii	587
cluster1407	SEQF1790	Neisseria	flavescens	SK114
cluster431	SEQF1207	Escherichia	coli	IAI39 (O7:K1)
cluster207	SEQF1100	Neisseria	meningitidis	53442
cluster569	SEQF1300	Pseudomonas	fluorescens	Pf-5
cluster490	SEQF1259	Lactobacillus	salivarius	UCC118
cluster2497	SEQF2325	Bradyrhizobium	elkanii	587
cluster1994	SEQF2159	Neisseria	lactamica	020-06
cluster1348	SEQF1715	Klebsiella	pneumoniae	NTUH-K2044
cluster2289	SEQF2274	Corynebacterium	diphtheriae	HC04
cluster1451	SEQF1808	Staphylococcus	aureus	A8115
cluster1377	SEQF1731	Campylobacter	showae	RM3277
cluster1181	SEQF1594	Kingella	oralis	ATCC 51147
cluster2134	SEQF2201	Staphylococcus	aureus	A9754
cluster132	SEQF1063	Actinomyces	naeslundii	MG1
cluster3189	SEQF2714	Pseudomonas	pseudoalcaligenes	AD6
cluster3877	SEQF3043	Corynebacterium	aurimucosum	hmsc069e04
cluster3245	SEQF2744	Peptostreptococcaceae [XI][G-1]	[Eubacterium] sulci	ATCC 35585
cluster2899	SEQF2575	Actinomyces	gerencseriae	DSM 6844
cluster2183	SEQF2219	Streptococcus	mitis	SK569
cluster013	SEQF1014	Cutibacterium	acnes	SK137
cluster2206	SEQF2229	Streptococcus	pneumoniae	GA17570
cluster374	SEQF1185	Cronobacter	sakazakii	ATCC BAA-894
cluster1734	SEQF1969	Neisseria	bacilliformis	ATCC BAA-1200
cluster1880	SEQF2039	Bacillus	subtilis	subsp. natto BEST195
